,Player,Team,FF Pts,Plays,TRGT,REC,RCYDS,RCTDS,RUATT,RUYDS,RUTDS,INT,FUM,Week,Season
0,B. Marshall,CHI,40.2,25,25,19,282,2,0,0,0,0,0,1,2012
1,Victor Cruz,NYG,39.9,21,21,14,159,4,0,0,0,0,0,1,2012
2,James Jones,GB,34.2,13,13,9,102,4,0,0,0,0,0,1,2012
3,A.J. Green,CIN,30.2,22,22,15,182,2,0,0,0,0,1,1,2012
4,Reggie Wayne,IND,27.2,20,20,13,212,1,0,0,0,0,0,1,2012
5,Percy Harvin,MIN,23.6,12,10,8,108,1,2,8,1,0,0,1,2012
6,DeSean Jackson,PHI,21.7,17,17,10,157,1,0,0,0,0,1,1,2012
7,Marques Colston,NO,21.3,13,13,9,153,1,0,0,0,0,0,1,2012
8,Randall Cobb,GB,20.8,12,12,11,148,1,0,0,0,0,0,1,2012
9, Josh Gordon,CLE,20.2,8,8,2,82,2,0,0,0,0,0,1,2012
10, Jordy Nelson,GB,18.2,17,17,10,122,1,0,0,0,0,0,1,2012
11, Santana Moss,WAS,17.3,9,9,5,113,1,0,0,0,0,0,1,2012
12, Domenik Hixon,NYG,16.9,19,19,11,169,0,0,0,0,0,0,1,2012
13, Vincent Jackson,TB,16,11,11,6,100,1,0,0,0,0,0,1,2012
14, Julio Jones,ATL,15.5,16,15,10,94,1,1,1,0,0,0,1,2012
15, Devin Hester,CHI,14.7,8,8,5,87,1,0,0,0,0,0,1,2012
16, Joe Morgan,NO,14,1,1,1,80,1,0,0,0,0,0,1,2012
17, Eric Decker,DEN,13.9,9,9,7,79,1,0,0,0,0,0,1,2012
18, Miles Austin,DAL,11.7,6,6,4,57,1,0,0,0,0,0,1,2012
19, M. Williams,TB,11.5,8,8,4,115,0,0,0,0,0,0,1,2012
20, Alshon Jeffery,CHI,11.2,9,9,5,52,1,0,0,0,0,0,1,2012
21, Chris Givens,LAR,11.1,5,5,1,51,1,0,0,0,0,0,1,2012
22, Dez Bryant,DAL,10.5,13,13,8,105,0,0,0,0,0,0,1,2012
23, D. Thomas,DEN,10.3,6,6,5,103,0,0,0,0,0,1,1,2012
24, L. Fitzgerald,ARI,9.2,15,15,8,92,0,0,0,0,0,0,1,2012
25, Andrew Hawkins,CIN,9.1,17,16,8,86,0,1,5,0,0,0,1,2012
26, Golden Tate,SEA,9,5,4,3,31,1,1,-1,0,0,0,1,2012
27, Justin Blackmon,JAC,8.8,18,18,9,88,0,0,0,0,0,0,1,2012
28, Antonio Brown,PIT,8.6,10,10,7,86,0,0,0,0,0,0,1,2012
29, Anquan Boldin,BAL,8.2,10,10,4,82,0,0,0,0,0,0,1,2012
30, Jordan Norwood,CLE,8.2,10,9,9,81,0,1,1,0,0,0,1,2012
31, Rueben Randle,NYG,8.2,10,10,6,82,0,0,0,0,0,0,1,2012
32, Denarius Moore,LVR,7.1,8,8,4,71,0,0,0,0,0,0,1,2012
33, Greg Jennings,GB,6.9,3,3,1,9,1,0,0,0,0,0,1,2012
34, Roddy White,ATL,6.8,6,6,4,68,0,0,0,0,0,0,1,2012
35, Lance Moore,NO,6.7,15,15,7,67,0,0,0,0,0,0,1,2012
36, Sidney Rice,SEA,6.7,6,6,5,67,0,0,0,0,0,0,1,2012
37, Josh Morgan,WAS,6.6,6,6,5,66,0,0,0,0,0,0,1,2012
38, Kendall Wright,TEN,6.6,11,11,9,66,0,0,0,0,0,0,1,2012
39, Jason Avant,PHI,6.4,5,5,5,64,0,0,0,0,0,0,1,2012
40, L. Hankerson,WAS,6.2,13,12,8,60,0,1,2,0,0,0,1,2012
41, Dwayne Bowe,KC,6,8,8,6,60,0,0,0,0,0,0,1,2012
42, Brian Hartline,MIA,5.9,5,5,4,59,0,0,0,0,0,0,1,2012
43, Cecil Shorts,JAC,5.1,8,8,3,51,0,0,0,0,0,0,1,2012
44, Davone Bess,MIA,4.9,6,6,2,49,0,0,0,0,0,0,1,2012
45, Nate Washington,TEN,4.6,8,8,4,46,0,0,0,0,0,0,1,2012
46, Jeremy Maclin,PHI,4.6,11,11,6,46,0,0,0,0,0,0,1,2012
47, Pierre Garcon,WAS,4.4,8,8,4,44,0,0,0,0,0,0,1,2012
48, Danny Amendola,LAR,4.4,5,5,1,44,0,0,0,0,0,0,1,2012
49, Brandon LaFell,CAR,4.4,3,3,3,44,0,0,0,0,0,0,1,2012
50, Andre Roberts,ARI,4.2,11,10,5,39,0,1,3,0,0,0,1,2012
51, Armon Binns,CIN,4.1,11,11,4,41,0,0,0,0,0,1,1,2012
52, Steve Smith,CAR,4,13,13,4,40,0,0,0,0,0,0,1,2012
53, Harry Douglas,ATL,3.9,6,5,2,34,0,1,5,0,0,0,1,2012
54, T. Underwood,TB,3.9,3,3,3,39,0,0,0,0,0,0,1,2012
55, Torrey Smith,BAL,3.8,4,4,3,38,0,0,0,0,0,0,1,2012
56, Doug Baldwin,SEA,3.7,4,4,3,37,0,0,0,0,0,0,1,2012
57, T.Y. Hilton,IND,3.7,10,9,3,37,0,1,0,0,0,0,1,2012
58, Ramses Barden,NYG,3.6,4,4,2,36,0,0,0,0,0,0,1,2012
59, Michael Jenkins,MIN,3.5,4,4,3,35,0,0,0,0,0,0,1,2012
60, D. Aromashodu,MIN,3.4,4,4,3,34,0,0,0,0,0,0,1,2012
61, Brandon Gibson,LAR,3.3,4,4,3,33,0,0,0,0,0,0,1,2012
62, Brandon Stokley,DEN,3.2,2,2,2,32,0,0,0,0,0,0,1,2012
63, Early Doucet,ARI,2.9,7,7,3,29,0,0,0,0,0,0,1,2012
64, Juron Criner,LVR,2.9,3,3,2,29,0,0,0,0,0,0,1,2012
65, Kevin Ogletree,DAL,2.8,6,5,3,24,0,1,4,0,0,0,1,2012
66, Jon Baldwin,KC,2.6,3,3,1,26,0,0,0,0,0,0,1,2012
67, Mike Thomas,JAC,2.4,10,10,5,24,0,0,0,0,0,0,1,2012
68, Kenny Britt,TEN,2.3,5,5,2,23,0,0,0,0,0,0,1,2012
69, Arrelious Benn,TB,2.3,5,4,3,18,0,1,5,0,0,0,1,2012
70, Donnie Avery,IND,2.2,8,8,3,22,0,0,0,0,0,0,1,2012
71, E. Sanders,PIT,2.2,7,7,3,22,0,0,0,0,0,0,1,2012
72, Kevin Elliott,JAC,2.2,6,6,3,22,0,0,0,0,0,0,1,2012
73, L. Robinson,JAC,1.9,1,1,1,19,0,0,0,0,0,0,1,2012
74, Derek Hagan,LVR,1.8,5,5,2,18,0,0,0,0,0,0,1,2012
75, Donald Driver,GB,1.7,4,4,2,17,0,0,0,0,0,0,1,2012
76, Mike Wallace,PIT,1.7,8,8,2,17,0,0,0,0,0,0,1,2012
77, Michael Floyd,ARI,1.7,3,3,1,17,0,0,0,0,0,0,1,2012
78, Damaris Johnson,PHI,1.6,2,1,1,17,0,1,-1,0,0,0,1,2012
79, Andre Caldwell,DEN,1.4,2,1,0,0,0,1,14,0,0,0,1,2012
80, Cole Beasley,DAL,1.4,2,2,2,14,0,0,0,0,0,0,1,2012
81, Kealoha Pilares,CAR,1.2,0,0,0,0,0,0,12,0,0,0,1,2012
82, Ben Obomanu,SEA,1.1,1,0,0,0,0,1,11,0,0,0,1,2012
83, D. Henderson,NO,1,2,2,1,10,0,0,0,0,0,0,1,2012
84, Braylon Edwards,SEA,1,1,1,1,10,0,0,0,0,0,0,1,2012
85, A. Robinson,WAS,1,1,1,1,10,0,0,0,0,0,0,1,2012
86, Damian Williams,TEN,0.9,3,3,1,9,0,0,0,0,0,0,1,2012
87, Louis Murphy,CAR,0.8,3,2,1,5,0,1,3,0,0,0,1,2012
88, J. Cotchery,PIT,0.7,1,1,1,7,0,0,0,0,0,0,1,2012
89, D. Sanzenbacher,CHI,0.7,3,3,1,7,0,0,0,0,0,0,1,2012
90, Andre Holmes,DAL,0.7,1,1,1,7,0,0,0,0,0,0,1,2012
91, Austin Pettis,LAR,0.6,2,2,1,6,0,0,0,0,0,0,1,2012
92, Jerrel Jernigan,NYG,0.6,1,1,1,6,0,0,0,0,0,0,1,2012
93, Stephen Burton,MIN,0.6,1,1,1,6,0,0,0,0,0,0,1,2012
94, Marvin Jones,CIN,0.5,2,2,1,5,0,0,0,0,0,0,1,2012
95, Joe Webb,MIN,-0.1,1,0,0,0,0,1,-1,0,0,0,1,2012
96, Terrance Copper,KC,0,0,0,0,0,0,0,0,0,0,0,1,2012
97, Josh Cribbs,CLE,0,0,0,0,0,0,0,0,0,0,1,1,2012
98, Maurice Stovall,JAC,0,0,0,0,0,0,0,0,0,0,0,1,2012
99,. Roscoe Parrish,TB,0,0,0,0,0,0,0,0,0,0,0,1,2012
100,. Courtney Roby,NO,0,0,0,0,0,0,0,0,0,0,0,1,2012
101,. Jacoby Jones,BAL,0,2,2,0,0,0,0,0,0,0,0,1,2012
102,. Steve Breaston,KC,0,0,0,0,0,0,0,0,0,0,0,1,2012
103,. Eric Weems,CHI,0,0,0,0,0,0,0,0,0,0,0,1,2012
104,. Jerome Simpson,MIN,0,3,3,0,0,0,0,0,0,0,0,1,2012
105,. A. Armstrong,MIA,0,0,0,0,0,0,0,0,0,0,0,1,2012
106,. Brandon Tate,CIN,0,1,1,0,0,0,0,0,0,0,0,1,2012
107,. Armanti Edwards,CAR,0,0,0,0,0,0,0,0,0,0,0,1,2012
108,. Dezmon Briscoe,WAS,0,0,0,0,0,0,0,0,0,0,0,1,2012
109,. Mardy Gilyard,PHI,0,0,0,0,0,0,0,0,0,0,0,1,2012
110,. Marlon Moore,MIA,0,0,0,0,0,0,0,0,0,0,0,1,2012
111,. B. Banks,WAS,0,0,0,0,0,0,0,0,0,0,0,1,2012
112,. Greg L. Little,CLE,0,2,2,0,0,0,0,0,0,0,0,1,2012
113,. Dwayne Harris,DAL,0,1,1,0,0,0,0,0,0,0,0,1,2012
114,. Tandon Doss,BAL,0,1,1,0,0,0,0,0,0,0,0,1,2012
115,. Drew Davis,ATL,0,0,0,0,0,0,0,0,0,0,0,1,2012
116,. LaQuan Williams,BAL,0,0,0,0,0,0,0,0,0,0,0,1,2012
117,. Kevin Cone,ATL,0,0,0,0,0,0,0,0,0,0,0,1,2012
118,. Mohamed Sanu,CIN,0,0,0,0,0,0,0,0,0,0,0,1,2012
119,. Brian Quick,LAR,0,1,1,0,0,0,0,0,0,0,0,1,2012
120,. Deonte Thompson,BAL,0,0,0,0,0,0,0,0,0,0,1,1,2012
121,. Rod Streater,LVR,0,2,2,0,0,0,0,0,0,0,0,1,2012
122,. Marcus Thigpen,MIA,0,0,0,0,0,0,0,0,0,0,0,1,2012
123,. Nathan Palmer,IND,0,1,1,0,0,0,0,0,0,0,0,1,2012
124,. D. Presley,MIA,0,0,0,0,0,0,0,0,0,0,0,1,2012
125,. LaVon Brazill,IND,0,0,0,0,0,0,0,0,0,0,0,1,2012
126,. Jason X. Jones,SEA,0,0,0,0,0,0,0,0,0,0,0,1,2012
0,Wes Welker,NE,36.2,29,29,23,242,2,0,0,0,0,0,2,2012
1,Marques Colston,NO,31.1,18,18,9,131,3,0,0,0,0,0,2,2012
2,A.J. Green,CIN,25.5,11,11,7,135,2,0,0,0,0,0,2,2012
3,Dez Bryant,DAL,21.5,15,15,13,95,2,0,0,0,0,0,2,2012
4,M. Crabtree,SF,19.9,13,13,9,139,1,0,0,0,0,0,2,2012
5,Jeremy Maclin,PHI,19,10,10,6,130,1,0,0,0,0,0,2,2012
6,Robert Meachem,LAC,18.7,4,4,3,67,2,0,0,0,0,0,2,2012
7,Vincent Jackson,TB,18.6,8,8,4,66,2,0,0,0,0,0,2,2012
8,D. Henderson,NO,18.3,10,10,8,123,1,0,0,0,0,1,2,2012
9, D. Thomas,DEN,18,11,11,9,180,0,0,0,0,0,1,2,2012
10, M. Williams,TB,17.3,6,6,4,113,1,0,0,0,0,0,2,2012
11, M. Manningham,SF,16.5,16,15,9,98,1,1,7,0,0,0,2,2012
12, Denarius Moore,LVR,16.4,9,9,5,104,1,0,0,0,0,0,2,2012
13, Josh Gordon,CLE,15.9,4,4,3,99,1,0,0,0,0,0,2,2012
14, K. Williams,SF,15.6,7,6,6,90,1,1,6,0,0,0,2,2012
15, Mike Wallace,PIT,15.4,4,4,2,94,1,0,0,0,0,0,2,2012
16, L. Fitzgerald,ARI,15.3,12,12,6,93,1,0,0,0,0,0,2,2012
17, Sidney Rice,SEA,14.1,6,6,3,81,1,0,0,0,0,0,2,2012
18, Calvin Johnson,DET,13.5,13,13,6,135,0,0,0,0,0,0,2,2012
19, Percy Harvin,MIN,13.4,16,14,11,133,0,2,1,0,0,1,2,2012
20, Doug Baldwin,SEA,13.4,3,3,2,74,1,0,0,0,0,0,2,2012
21, Roddy White,ATL,13.2,8,8,6,72,1,0,0,0,0,0,2,2012
22, Michael Jenkins,MIN,12.7,10,10,6,67,1,0,0,0,0,0,2,2012
23, Kenny Britt,TEN,12.2,11,11,4,62,1,0,0,0,0,1,2,2012
24, Stevie Johnson,BUF,12.1,21,21,12,121,0,0,0,0,0,0,2,2012
25, Victor Cruz,NYG,11.8,13,13,6,58,1,0,0,0,0,0,2,2012
26, Jeremy Kerley,NYJ,11.8,15,15,8,118,0,0,0,0,0,0,2,2012
27, Brandon Lloyd,NE,11.4,17,17,9,114,0,0,0,0,0,0,2,2012
28, Malcom Floyd,LAC,10.8,8,8,5,108,0,0,0,0,0,0,2,2012
29, Nate Burleson,DET,10.6,11,9,4,24,1,2,22,0,0,0,2,2012
30, Marlon Moore,MIA,10.6,3,3,3,46,1,0,0,0,0,0,2,2012
31, Anquan Boldin,BAL,9.8,6,6,5,98,0,0,0,0,0,0,2,2012
32, Brandon Gibson,LAR,9.1,9,9,7,91,0,0,0,0,0,0,2,2012
33, Reggie Wayne,IND,8.7,10,10,5,87,0,0,0,0,0,1,2,2012
34, Randy Moss,SF,8.6,5,5,3,86,0,0,0,0,0,0,2,2012
35, Derek Hagan,LVR,8.5,4,4,4,85,0,0,0,0,0,0,2,2012
36, Chris Givens,LAR,8.5,7,7,3,85,0,0,0,0,0,0,2,2012
37, Torrey Smith,BAL,8.4,4,4,2,24,1,0,0,0,0,0,2,2012
38, Stephen Hill,NYJ,8.3,3,3,3,23,1,0,0,0,0,0,2,2012
39, Braylon Edwards,SEA,8.1,3,3,2,21,1,0,0,0,0,0,2,2012
40, Eric Decker,DEN,8.1,8,8,4,21,1,0,0,0,0,0,2,2012
41, Domenik Hixon,NYG,7.8,6,6,4,78,0,0,0,0,0,0,2,2012
42, Jason Hill,NYJ,7.5,3,3,2,15,1,0,0,0,0,0,2,2012
43, Kendall Wright,TEN,7.1,8,8,6,71,0,0,0,0,0,0,2,2012
44, Brandon Stokley,DEN,7,3,3,2,10,1,0,0,0,0,0,2,2012
45, T. Underwood,TB,6.8,3,3,2,68,0,0,0,0,0,0,2,2012
46, Julio Jones,ATL,6.3,8,8,4,63,0,0,0,0,0,0,2,2012
47, DeSean Jackson,PHI,6,9,8,5,74,0,1,-14,0,0,0,2,2012
48, Donnie Avery,IND,5.9,13,12,4,60,0,1,-1,0,0,0,2,2012
49, Nate Washington,TEN,5.7,10,10,3,57,0,0,0,0,0,0,2,2012
50, Brad Smith,BUF,5.5,5,1,1,1,0,3,54,0,1,0,2,2012
51, Chaz Schilens,NYJ,5.2,9,9,6,52,0,0,0,0,0,0,2,2012
52, Golden Tate,SEA,4.7,6,6,3,47,0,0,0,0,0,0,2,2012
53, Santana Moss,WAS,4.6,4,4,4,46,0,0,0,0,0,0,2,2012
54, Kevin Walter,HOU,4.6,6,6,4,46,0,0,0,0,0,0,2,2012
55, Greg Camarillo,NO,4.4,5,5,4,44,0,0,0,0,0,0,2,2012
56, Hakeem Nicks,NYG,4.4,5,5,3,44,0,0,0,0,0,0,2,2012
57, E. Sanders,PIT,4.3,6,6,4,43,0,0,0,0,0,0,2,2012
58, Josh Morgan,WAS,4.2,4,4,3,42,0,0,0,0,0,0,2,2012
59, Davone Bess,MIA,4.2,9,9,6,42,0,0,0,0,0,0,2,2012
60, Josh Cooper,CLE,3.9,3,3,2,39,0,0,0,0,0,0,2,2012
61, Harry Douglas,ATL,3.7,7,7,5,37,0,0,0,0,0,0,2,2012
62, Andrew Hawkins,CIN,3.7,6,5,5,35,0,1,2,0,0,0,2,2012
63, T.J. Graham,BUF,3.4,6,6,3,34,0,0,0,0,0,0,2,2012
64, Miles Austin,DAL,3.1,5,5,2,31,0,0,0,0,0,0,2,2012
65, Eddie Royal,LAC,3.1,5,5,2,31,0,0,0,0,0,0,2,2012
66, T.Y. Hilton,IND,3.1,4,4,3,31,0,0,0,0,0,0,2,2012
67, Deion Branch,NE,3,6,6,2,30,0,0,0,0,0,0,2,2012
68, Clyde Gates,NYJ,2.7,3,3,1,27,0,0,0,0,0,0,2,2012
69, Dwayne Bowe,KC,2.5,9,9,3,25,0,0,0,0,0,0,2,2012
70, Michael Floyd,ARI,2.4,3,3,1,24,0,0,0,0,0,0,2,2012
71, Rod Streater,LVR,2.4,3,3,3,24,0,0,0,0,0,0,2,2012
72, L. Hankerson,WAS,2.3,3,3,2,23,0,0,0,0,0,0,2,2012
73, Donald Jones,BUF,2.2,8,8,3,22,0,0,0,0,0,0,2,2012
74, Jason Avant,PHI,2.1,4,4,2,21,0,0,0,0,0,0,2,2012
75, Marvin Jones,CIN,2.1,2,2,2,21,0,0,0,0,0,0,2,2012
76, D. Heyward-Bey,LVR,2,3,2,0,0,0,1,20,0,0,0,2,2012
77, Antonio Brown,PIT,2,10,10,4,20,0,0,0,0,0,0,2,2012
78, Jon Baldwin,KC,1.9,5,5,2,19,0,0,0,0,0,0,2,2012
79, Steve E. Smith,LAR,1.8,2,2,2,18,0,0,0,0,0,0,2,2012
80, Andre Roberts,ARI,1.8,6,6,2,18,0,0,0,0,0,0,2,2012
81, Riley Cooper,PHI,1.8,3,3,2,18,0,0,0,0,0,0,2,2012
82, Greg L. Little,CLE,1.8,5,5,3,18,0,0,0,0,0,0,2,2012
83, Andre Johnson,HOU,1.5,6,6,1,15,0,0,0,0,0,0,2,2012
84, Jacoby Jones,BAL,1.5,3,3,2,15,0,0,0,0,0,0,2,2012
85, Damian Williams,TEN,1.4,3,3,2,14,0,0,0,0,0,0,2,2012
86, Keshawn Martin,HOU,1.4,1,0,0,0,0,1,14,0,0,0,2,2012
87, LaVon Brazill,IND,1.4,1,1,1,14,0,0,0,0,0,0,2,2012
88, D. Aromashodu,MIN,1.3,2,2,1,13,0,0,0,0,0,0,2,2012
89, Armon Binns,CIN,1.2,5,5,2,12,0,0,0,0,0,0,2,2012
90, Brandon Tate,CIN,1.1,2,2,1,11,0,0,0,0,0,1,2,2012
91, Austin Pettis,LAR,1.1,3,3,1,11,0,0,0,0,0,0,2,2012
92, Josh Cribbs,CLE,0.8,2,1,0,0,0,1,8,0,0,1,2,2012
93, Titus Young,DET,0.6,5,5,2,6,0,0,0,0,0,0,2,2012
94, Early Doucet,ARI,0.1,3,3,1,1,0,0,0,0,0,0,2,2012
95, B. Banks,WAS,0.1,4,2,2,3,0,2,-2,0,0,1,2,2012
96, Brian Quick,LAR,0.1,2,2,1,1,0,0,0,0,0,0,2,2012
97, DeVier Posey,HOU,-0.3,1,0,0,0,0,1,-3,0,0,0,2,2012
98, Nathan Palmer,IND,-0.4,2,2,1,-4,0,0,0,0,0,0,2,2012
99,. Terrance Copper,KC,0,0,0,0,0,0,0,0,0,0,0,2,2012
100,. J. Cotchery,PIT,0,0,0,0,0,0,0,0,0,0,0,2,2012
101,. Ruvell Martin,BUF,0,0,0,0,0,0,0,0,0,0,0,2,2012
102,. Kassim Osgood,DET,0,0,0,0,0,0,0,0,0,0,0,2,2012
103,. Roscoe Parrish,TB,0,0,0,0,0,0,0,0,0,0,0,2,2012
104,. Courtney Roby,NO,0,0,0,0,0,0,0,0,0,0,0,2,2012
105,. Ted Ginn Jr.,SF,0,0,0,0,0,0,0,0,0,0,0,2,2012
106,. Steve Breaston,KC,0,0,0,0,0,0,0,0,0,0,0,2,2012
107,. Ben Obomanu,SEA,0,1,1,0,0,0,0,0,0,0,0,2,2012
108,. Andre Caldwell,DEN,0,0,0,0,0,0,0,0,0,0,0,2,2012
109,. Matthew Slater,NE,0,0,0,0,0,0,0,0,0,0,0,2,2012
110,. A. Armstrong,MIA,0,0,0,0,0,0,0,0,0,0,0,2,2012
111,. Brian Hartline,MIA,0,0,0,0,0,0,0,0,0,0,0,2,2012
112,. Ramses Barden,NYG,0,0,0,0,0,0,0,0,0,0,0,2,2012
113,. Kevin Ogletree,DAL,0,4,4,0,0,0,0,0,0,0,0,2,2012
114,. Arrelious Benn,TB,0,0,0,0,0,0,0,0,0,0,0,2,2012
115,. Dezmon Briscoe,WAS,0,1,1,0,0,0,0,0,0,0,0,2,2012
116,. Mardy Gilyard,PHI,0,0,0,0,0,0,0,0,0,0,0,2,2012
117,. David Reed,BAL,0,0,0,0,0,0,0,0,0,0,0,2,2012
118,. Richard Goodman,LAC,0,0,0,0,0,0,0,0,0,0,0,2,2012
119,. Dwayne Harris,DAL,0,0,0,0,0,0,0,0,0,0,0,2,2012
120,. Stephen Burton,MIN,0,0,0,0,0,0,0,0,0,0,0,2,2012
121,. A. Robinson,WAS,0,0,0,0,0,0,0,0,0,0,0,2,2012
122,. Tandon Doss,BAL,0,0,0,0,0,0,0,0,0,0,0,2,2012
123,. Andre Holmes,DAL,0,0,0,0,0,0,0,0,0,0,0,2,2012
124,. Joe Morgan,NO,0,1,1,0,0,0,0,0,0,0,0,2,2012
125,. Drew Davis,ATL,0,0,0,0,0,0,0,0,0,0,0,2,2012
126,. LaQuan Williams,BAL,0,0,0,0,0,0,0,0,0,0,0,2,2012
127,. Kevin Cone,ATL,0,0,0,0,0,0,0,0,0,0,0,2,2012
128,. Juron Criner,LVR,0,0,0,0,0,0,0,0,0,0,0,2,2012
129,. Rueben Randle,NYG,0,0,0,0,0,0,0,0,0,0,0,2,2012
130,. Marcus Thigpen,MIA,0,0,0,0,0,0,0,0,0,0,0,2,2012
131,. LaRon Byrd,ARI,0,0,0,0,0,0,0,0,0,0,0,2,2012
132,. D. Presley,MIA,0,0,0,0,0,0,0,0,0,0,0,2,2012
133,. Ryan Broyles,DET,0,0,0,0,0,0,0,0,0,0,0,2,2012
134,. Jason X. Jones,SEA,0,0,0,0,0,0,0,0,0,0,0,2,2012
135,. T. Holliday,HOU,0,0,0,0,0,0,0,0,0,0,0,2,2012
0,Jordy Nelson,GB,48.3,21,21,17,243,4,0,0,0,0,0,3,2012
1,Randall Cobb,GB,33,19,18,15,191,2,1,19,0,0,0,3,2012
2,Vincent Jackson,TB,31.6,20,20,9,256,1,0,0,0,0,0,3,2012
3,Percy Harvin,MIN,25.6,20,17,11,127,2,3,9,0,0,0,3,2012
4,James Jones,GB,20.6,17,17,9,86,2,0,0,0,0,0,3,2012
5,Victor Cruz,NYG,19.1,11,11,7,131,1,0,0,0,0,0,3,2012
6,Santana Moss,WAS,18.7,4,4,3,67,2,0,0,0,0,1,3,2012
7,M. Williams,TB,16.4,19,19,10,104,1,0,0,0,0,0,3,2012
8,Andre Roberts,ARI,16.3,9,9,7,103,1,0,0,0,0,0,3,2012
9, Kevin Walter,HOU,16.2,9,9,6,102,1,0,0,0,0,0,3,2012
10, Andre Johnson,HOU,16.1,22,22,17,161,0,0,0,0,0,0,3,2012
11, Eric Decker,DEN,15.8,9,9,6,98,1,0,0,0,0,0,3,2012
12, Miles Austin,DAL,15.7,9,9,5,97,1,0,0,0,0,1,3,2012
13, B. Marshall,CHI,14.1,10,10,6,81,1,0,0,0,0,0,3,2012
14, Cecil Shorts,JAC,13.9,10,10,4,79,1,0,0,0,0,1,3,2012
15, Marques Colston,NO,13.3,10,10,7,73,1,0,0,0,0,0,3,2012
16, Stevie Johnson,BUF,13.1,7,7,5,71,1,0,0,0,0,0,3,2012
17, T. Underwood,TB,12.2,11,11,5,62,1,0,0,0,0,0,3,2012
18, Jeremy Kerley,NYJ,12.2,12,11,7,120,0,1,2,0,0,0,3,2012
19, Lance Moore,NO,12.1,10,10,9,121,0,0,0,0,0,0,3,2012
20, Josh Gordon,CLE,11.9,10,10,2,59,1,0,0,0,0,0,3,2012
21, Brandon LaFell,CAR,11.3,8,8,4,53,1,0,0,0,0,0,3,2012
22, Greg L. Little,CLE,11.2,7,7,6,52,1,0,0,0,0,0,3,2012
23, Ryan Broyles,DET,11.1,4,4,3,51,1,0,0,0,0,0,3,2012
24, Antonio Brown,PIT,10.9,11,8,7,96,0,2,13,0,0,0,3,2012
25, Brandon Stokley,DEN,10.8,4,4,4,48,1,0,0,0,0,0,3,2012
26, Joe Morgan,NO,10.8,2,2,1,48,1,0,0,0,0,0,3,2012
27, Donald Jones,BUF,10.7,5,5,4,47,1,0,0,0,0,0,3,2012
28, Nate Washington,TEN,10.3,8,8,6,43,1,0,0,0,0,1,3,2012
29, D. Thomas,DEN,9.7,2,2,2,37,1,0,0,0,0,0,3,2012
30, Denarius Moore,LVR,9.6,8,8,4,36,1,0,0,0,0,1,3,2012
31, Chris Givens,LAR,8.7,6,5,3,73,0,1,14,0,0,0,3,2012
32, Michael Jenkins,MIN,8.5,11,11,5,85,0,0,0,0,0,0,3,2012
33, D. Heyward-Bey,LVR,8.5,7,7,4,85,0,0,0,0,0,0,3,2012
34, Steve Smith,CAR,8.3,9,9,7,83,0,0,0,0,0,0,3,2012
35, Titus Young,DET,8.1,8,8,6,81,0,0,0,0,0,0,3,2012
36, Austin Pettis,LAR,7.7,3,3,2,17,1,0,0,0,0,0,3,2012
37, D. Henderson,NO,7.5,3,3,3,75,0,0,0,0,0,0,3,2012
38, Tandon Doss,BAL,7.5,1,1,1,15,1,0,0,0,0,0,3,2012
39, Reggie Wayne,IND,7.3,11,11,6,73,0,0,0,0,0,0,3,2012
40, L. Hankerson,WAS,7,8,8,6,70,0,0,0,0,0,0,3,2012
41, A.J. Green,CIN,6.8,6,6,1,8,1,0,0,0,0,0,3,2012
42, Wes Welker,NE,6.6,8,8,6,66,0,0,0,0,0,0,3,2012
43, Malcom Floyd,LAC,6,5,5,5,60,0,0,0,0,0,0,3,2012
44, Brandon Gibson,LAR,6,7,7,5,60,0,0,0,0,0,0,3,2012
45, Mike Wallace,PIT,5.9,17,15,8,52,0,2,7,0,0,0,3,2012
46, Stephen Hill,NYJ,5.5,7,7,4,55,0,0,0,0,0,0,3,2012
47, Hakeem Nicks,NYG,5.3,10,10,5,53,0,0,0,0,0,0,3,2012
48, Josh Cooper,CLE,5.3,8,8,4,53,0,0,0,0,0,0,3,2012
49, Ben Obomanu,SEA,5,4,4,3,50,0,0,0,0,0,0,3,2012
50, Louis Murphy,CAR,4.8,9,9,3,48,0,0,0,0,0,0,3,2012
51, Donnie Avery,IND,4.6,6,6,4,46,0,0,0,0,0,0,3,2012
52, Jerome Simpson,MIN,4.5,8,8,3,45,0,0,0,0,0,1,3,2012
53, Torrey Smith,BAL,4.1,13,13,4,41,0,0,0,0,0,0,3,2012
54, Rod Streater,LVR,4.1,4,4,2,41,0,0,0,0,0,0,3,2012
55, E. Sanders,PIT,4,2,2,2,40,0,0,0,0,0,0,3,2012
56, Devin Hester,CHI,3.8,6,6,3,38,0,0,0,0,0,0,3,2012
57, Damian Williams,TEN,3.8,4,4,3,38,0,0,0,0,0,0,3,2012
58, Calvin Johnson,DET,3.4,11,11,3,34,0,0,0,0,0,0,3,2012
59, Mohamed Sanu,CIN,3.4,4,3,3,27,0,1,7,0,0,0,3,2012
60, Travis Benjamin,CLE,3.3,5,5,3,33,0,0,0,0,0,0,3,2012
61, Domenik Hixon,NYG,3.2,4,4,3,32,0,0,0,0,0,0,3,2012
62, Sidney Rice,SEA,3.2,4,4,2,32,0,0,0,0,0,0,3,2012
